Timestamp URL HTTP_Status TimeTaken_ms RawContentLength Content
2021-06-14-04:07:44 https://mycw60.eclinicalweb.com/portal7695/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:44 https://mycw60.eclinicalweb.com/portal7658/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:45 https://mycw60.eclinicalweb.com/portal7758/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:45 https://mycw60.eclinicalweb.com/portal7722/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:45 https://mycw60.eclinicalweb.com/portal7779/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:46 https://mycw60.eclinicalweb.com/portal7714/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:46 https://mycw60.eclinicalweb.com/portal7674/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:46 https://mycw60.eclinicalweb.com/portal7776/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:47 https://mycw60.eclinicalweb.com/portal7614/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:47 https://mycw60.eclinicalweb.com/portal7756/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:47 https://mycw60.eclinicalweb.com/portal7690/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:47 https://mycw60.eclinicalweb.com/portal7759/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:48 https://mycw60.eclinicalweb.com/portal7777/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:49 https://mycw60.eclinicalweb.com/portal7769/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:49 https://mycw60.eclinicalweb.com/portal7774/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:49 https://mycw60.eclinicalweb.com/portal7716/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:49 https://mycw60.eclinicalweb.com/portal7724/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:50 https://mycw60.eclinicalweb.com/portal7697/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:50 https://mycw60.eclinicalweb.com/portal7707/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:50 https://mycw60.eclinicalweb.com/portal7733/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
